"geno_ID","year","location","pltht","yld_bu_ac","earht"
"LH195/REDEAR-B",2014,"Columbia",237.5,161.262492749998,127.000000000001
"LH198/CGR01",2014,"Columbia",197,151.704028149998,99.5000000000009
"LH74/PHG35",2014,"Columbia",199,129.798077983648,93.4183625634281
"LH74/PHM49",2014,"Columbia",219.5,165.419367049998,120.000000000001
"LH74/PHN82",2014,"Columbia",206.5,150.188339399998,104.000000000001
"LH82/CG60",2014,"Columbia",188,133.529254799998,89.0000000000009
"LH82/CGR01",2014,"Columbia",194,156.141035799998,92.5000000000009
"LH82/LH198",2014,"Columbia",146.5,139.152767599998,64.5000000000009
"M0001/LH185",2014,"Columbia",220,174.714431983648,99.418362563428
"M0003/LH185",2014,"Columbia",213,157.162339949998,82.5000000000009
"M0008/LH185",2014,"Columbia",219.5,171.897538949998,93.0000000000009
"M0008/LH198",2014,"Columbia",212.5,117.042365549998,94.5000000000009
"M0012/LH185",2014,"Columbia",205.5,136.555578499998,93.5000000000009
"M0012/LH198",2014,"Columbia",212,152.763319683648,100.418362563428
"M0014/LH185",2014,"Columbia",211,157.205749749998,82.5000000000009
"M0014/LH198",2014,"Columbia",205,130.770068599998,98.0000000000009
"M0022/LH185",2014,"Columbia",218,160.644421599998,95.5000000000009
"M0024/LH198",2014,"Columbia",237.5,121.415927999998,121.000000000001
"M0027/LH185",2014,"Columbia",234,160.221604549998,99.0000000000009
"M0028/LH185",2014,"Columbia",220.5,135.172104599998,109.000000000001
"M0030/LH185",2014,"Columbia",219,162.576790599998,107.500000000001
"M0035/LH185",2014,"Columbia",218,139.531182099998,99.0000000000009
"M0039/LH185",2014,"Columbia",206.5,147.711271899998,99.0000000000009
"M0041/LH185",2014,"Columbia",218,149.032421183648,97.418362563428
"M0042/LH185",2014,"Columbia",222,156.862803149998,107.500000000001
"M0045/LH185",2014,"Columbia",206.5,158.190096899998,87.5000000000009
"M0051/LH185",2014,"Columbia",221,149.046236799998,99.0000000000009
"M0052/LH185",2014,"Columbia",217,152.674161099998,94.0000000000009
"M0058/LH185",2014,"Columbia",229,128.836390949998,107.500000000001
"M0075/LH185",2014,"Columbia",215,133.354171504998,96.5000000000009
"M0076/LH185",2014,"Columbia",221.5,128.585633799998,110.000000000001
"M0077/LH185",2014,"Columbia",220.5,104.652786249998,96.5000000000009
"M0083/LH185",2014,"Columbia",199,158.999315599998,90.0000000000009
"M0083/LH198",2014,"Columbia",198,103.869198279998,99.0000000000009
"M0085/LH185",2014,"Columbia",206,130.032507649998,87.5000000000009
"M0085/LH198",2014,"Columbia",216,111.406037449998,112.500000000001
"M0087/LH198",2014,"Columbia",203.5,122.270271299998,92.0000000000009
"M0088/LH185",2014,"Columbia",220,168.309820699998,108.500000000001
"M0099/LH185",2014,"Columbia",236,156.308854049998,128.000000000001
"M0101/LH185",2014,"Columbia",222.5,182.535834149998,107.500000000001
"M0106/LH185",2014,"Columbia",220.5,126.478362049998,103.500000000001
"M0114/LH185",2014,"Columbia",209,131.900303399998,95.0000000000009
"M0118/LH185",2014,"Columbia",207,152.505846499998,99.5000000000009
"M0143/LH185",2014,"Columbia",200.5,138.281863599998,101.000000000001
"M0151/LH185",2014,"Columbia",208,147.903412249998,85.5000000000009
"M0151/LH198",2014,"Columbia",211,118.637879749998,102.500000000001
"M0154/LH185",2014,"Columbia",207,153.392905049998,94.5000000000009
"M0154/LH198",2014,"Columbia",203,125.486659599998,105.500000000001
"M0159/LH185",2014,"Columbia",203,125.445370649998,92.5000000000009
"M0163/LH185",2014,"Columbia",218,120.908773099998,99.0000000000009
"M0172/LH185",2014,"Columbia",200,108.879693899998,84.0000000000009
"M0186/LH185",2014,"Columbia",208,179.325988899998,91.0000000000009
"M0186/LH198",2014,"Columbia",194,145.174865549998,96.5000000000009
"M0262/LH198",2014,"Columbia",218,101.279544974998,102.500000000001
"M0266/LH185",2014,"Columbia",217.5,154.354689849998,104.000000000001
"M0266/LH198",2014,"Columbia",211,125.684169799998,97.5000000000009
"M0269/LH185",2014,"Columbia",200,93.818372163648,85.418362563428
"M0272/LH185",2014,"Columbia",214,144.990080499998,96.5000000000009
"M0287/LH185",2014,"Columbia",216.5,149.128498899998,117.000000000001
"M0296/LH185",2014,"Columbia",192.5,157.089508899998,91.0000000000009
"M0297/LH185",2014,"Columbia",209,147.189180699998,84.5000000000009
"M0297/LH198",2014,"Columbia",224.5,143.342898699998,115.000000000001
"M0311/LH185",2014,"Columbia",221,138.296348594998,103.000000000001
"M0311/LH198",2014,"Columbia",205.5,109.855557599998,104.500000000001
"M0317/LH185",2014,"Columbia",218.5,158.702395999998,101.500000000001
"M0323/LH185",2014,"Columbia",222,155.631308799998,116.500000000001
"M0325/LH185",2014,"Columbia",227.5,161.273006699998,109.000000000001
"M0325/LH198",2014,"Columbia",229,166.119843116348,112.581637436574
"M0346/LH185",2014,"Columbia",221,134.586703749998,108.000000000001
"M0352/LH185",2014,"Columbia",199.5,116.303315549998,96.5000000000009
"M0355/LH185",2014,"Columbia",211.5,156.197125649998,96.5000000000009
"M0369/LH185",2014,"Columbia",208.5,133.707857799998,92.0000000000009
"M0378/LH185",2014,"Columbia",224,133.806139099998,112.000000000001
"MO44_LH145_0127/LH185",2014,"Columbia",192.5,145.020494399998,105.000000000001
"MO44_LH145_0138/LH185",2014,"Columbia",220.5,157.138378749998,98.5000000000009
"MO44_PHG47_0072/LH185",2014,"Columbia",216.5,129.338176049998,96.0000000000009
"Mo44_PHW65_0025/LH185",2014,"Columbia",195,140.497705049998,78.5000000000009
"Mo44_PHW65_0035/LH185",2014,"Columbia",223,143.347809783648,111.418362563428
"Mo44_PHW65_0126/LH185",2014,"Columbia",200.5,124.547617549998,88.0000000000009
"Mo44_PHW65_0193/LH185",2014,"Columbia",196,112.552517109998,79.5000000000009
"MOG_LH123HT-014-1-1-1-1-B/LH185",2014,"Columbia",234.5,124.846657949998,88.0000000000009
"MOG_LH123HT-031-1-1-1-1-B/LH185",2014,"Columbia",230,102.035652059998,100.500000000001
"MOG_LH123HT-045-1-1-1-1-B/LH185",2014,"Columbia",214.5,142.766432499998,103.500000000001
"MOG_LH123HT-074-1-1-1-1-B/LH185",2014,"Columbia",225,104.421658249998,86.5000000000009
"MOG_LH123HT-199-1-1-1-1-B/LH185",2014,"Columbia",234.5,155.071087399998,119.500000000001
"MOG_LH123HT-200-1-1-1-1-B/LH185",2014,"Columbia",239.5,137.810537549998,124.500000000001
"MOG_LH145_0006/LH185",2014,"Columbia",216,160.919230199998,102.000000000001
"MOG_LH145_0057/LH185",2014,"Columbia",233,137.081053949998,106.500000000001
"MOG_LH145_0173/LH185",2014,"Columbia",225,130.587584849998,119.500000000001
"MOG_LH145_0175/LH185",2014,"Columbia",207.5,161.705209799998,111.500000000001
"MOG_MO45-030-1-1-1-1-B/LH185",2014,"Columbia",213.5,157.220415199998,98.5000000000009
"MOG_MO45-074-1-1-1-1-B/LH185",2014,"Columbia",206,133.652444849998,103.000000000001
"MOG_MO45-078-1-1-1-1-B/LH185",2014,"Columbia",207,137.622962316348,87.5816374365738
"MOG_MO45-085-1-1-1-1-B/LH185",2014,"Columbia",228.5,129.436728099998,105.500000000001
"MOG_MO45-128-1-1-1-1-B/LH185",2014,"Columbia",234,163.214535999998,117.000000000001
"MOG_NC230-010-1-1-1-1-B/LH185",2014,"Columbia",229.5,163.273694299998,109.000000000001
"MOG_NC230-183-1-1-1-1-B/LH185",2014,"Columbia",223.5,153.353601549998,102.000000000001
"MOG_OH43_0071/LH185",2014,"Columbia",210,137.041434599998,99.0000000000009
"MOG_OH43_0170/LH185",2014,"Columbia",211,109.562924849998,84.0000000000009
"MOG_OH43_0367/LH185",2014,"Columbia",210.5,135.839541999998,96.0000000000009
"MOG_OH43_0416/LH185",2014,"Columbia",238,132.360799499998,106.000000000001
"MOG_OH43_0439/LH185",2014,"Columbia",217.5,153.827048399998,105.000000000001
"MOG_PHG83-014-1-1-1-1-B/LH185",2014,"Columbia",212,126.637741949998,92.0000000000009
"MOG_PHG83-090-1-1-1-1-B/LH185",2014,"Columbia",239,150.877075549998,113.500000000001
"MOG_PHG83-211-1-1-1-1-B/LH185",2014,"Columbia",201,75.1787782399982,85.0000000000009
"MOG_PHG83-224-1-1-1-1-B/LH185",2014,"Columbia",239.5,116.460303849998,124.000000000001
"PHG39/PHG35",2014,"Columbia",234.5,157.565347349998,116.000000000001
"PHG39/PHM49",2014,"Columbia",221.5,176.486210199998,110.000000000001
"PHG39/PHN82",2014,"Columbia",222.5,192.430250999998,111.000000000001
"PHG39/TX205",2014,"Columbia",239,106.928868949998,124.500000000001
"PHN11_LH145_0002/LH185",2014,"Columbia",195.5,157.459710749998,82.0000000000009
"PHN11_LH145_0003/LH185",2014,"Columbia",192,152.526866983648,78.418362563428
"PHN11_LH145_0005/LH185",2014,"Columbia",198,175.001792749998,91.0000000000009
"PHN11_LH145_0028/LH185",2014,"Columbia",182,102.063268319998,83.0000000000009
"PHN11_LH145_0062/LH185",2014,"Columbia",202.5,152.838188849998,86.0000000000009
"PHN11_LH145_0085/LH185",2014,"Columbia",210.5,170.052440849998,92.0000000000009
"PHN11_OH43_0001/LH185",2014,"Columbia",213,107.177866299998,93.0000000000009
"PHN11_OH43_0036/LH185",2014,"Columbia",197,146.510868349998,86.5000000000009
"PHN11_OH43_0088/LH185",2014,"Columbia",200.5,135.255269199998,90.0000000000009
"PHN11_OH43_0142/LH185",2014,"Columbia",205,128.383069649998,102.000000000001
"PHN11_PHG47_0251/LH185",2014,"Columbia",218.5,148.914157199998,104.000000000001
"PHN11_PHG47_0388/LH185",2014,"Columbia",211,155.128756549998,107.500000000001
"PHN11_PHW65_0015/LH185",2014,"Columbia",188.5,130.762036349998,85.0000000000009
